epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58679,1.58357,3.68466,1.86006,0.01195,1,0.03815,0.01393,1.5952,4.02233,2.20512,6.666e-05,6.666e-05,6.666e-05
2,5.79043,1.33754,3.52552,1.74234,0.01442,1,0.3155,0.13992,1.47089,3.74348,2.17253,0.000143,0.000143,0.000143
3,9.20004,1.20849,3.17762,1.66079,0.01676,1,0.698,0.36388,1.43663,3.70733,2.23599,0.0002178,0.0002178,0.0002178
4,11.773,1.11587,2.74332,1.5707,0.02027,1,0.80643,0.42246,1.43685,3.7169,2.2063,0.000291061,0.000291061,0.000291061
5,13.9701,1.1455,2.51729,1.58192,0.02857,1,0.4505,0.30408,1.92598,3.61014,2.50233,0.000362781,0.000362781,0.000362781
6,15.9639,1.07316,2.22248,1.50667,0.02128,1,0.61687,0.2424,2.08484,3.45369,2.993,0.000432962,0.000432962,0.000432962
7,18.6321,1.14461,2.2217,1.5582,0.01935,1,0.995,0.33615,2.08698,3.30611,3.21889,0.000501603,0.000501603,0.000501603
8,23.1484,1.13731,2.05687,1.5495,0.01754,1,0.42643,0.13514,1.64098,3.31211,2.09626,0.000568704,0.000568704,0.000568704
9,27.3832,1.14862,2.17448,1.53899,1,0.61768,0.73571,0.45435,2.08535,2.57843,2.62054,0.000634265,0.000634265,0.000634265
10,31.9424,1.15989,2.09502,1.53025,1,0.62962,0.68047,0.37113,2.31812,2.67635,2.59282,0.000698287,0.000698287,0.000698287
11,34.3232,1.13965,1.93304,1.48652,1,0.55651,0.66692,0.43384,2.254,2.68066,2.6983,0.000760768,0.000760768,0.000760768
12,37.4189,1.16099,2.01229,1.5493,0.95867,0.33333,0.43939,0.21096,2.11052,2.39846,2.25163,0.00082171,0.00082171,0.00082171
13,40.4526,1.15338,1.89714,1.51597,0.46735,0.60137,0.56188,0.32208,1.80525,2.8331,2.33796,0.000881112,0.000881112,0.000881112
14,42.5116,1.18306,1.85051,1.53628,0.46393,0.33333,0.5,0.24224,2.00679,2.82236,2.40461,0.000938974,0.000938974,0.000938974
15,44.479,1.24442,1.86418,1.56169,0.64618,0.66667,0.72,0.4045,1.55022,3.1815,2.10346,0.000957015,0.000957015,0.000957015
16,46.5116,1.16085,1.82936,1.52164,0.98168,0.66667,0.863,0.53171,1.44113,1.90155,2.08717,0.000946016,0.000946016,0.000946016
17,48.9153,1.10984,1.78758,1.51105,1,0.98687,0.995,0.69895,1.3718,1.74992,2.27224,0.000935018,0.000935018,0.000935018
18,51.9507,1.0886,1.65865,1.46329,0.97641,1,0.995,0.65876,1.2975,1.56871,1.81028,0.000924019,0.000924019,0.000924019
19,54.56,1.10002,1.77286,1.46863,0.97718,1,0.995,0.61389,1.17175,1.68937,1.73243,0.00091302,0.00091302,0.00091302
20,56.5983,1.16121,1.75367,1.54231,1,0.77435,0.995,0.58988,1.55337,2.19183,2.04406,0.000902021,0.000902021,0.000902021
21,58.6301,1.11398,1.61647,1.47638,0.72897,1,0.9125,0.4209,1.73087,1.96126,2.16342,0.000891022,0.000891022,0.000891022
22,61.5255,1.09382,1.71704,1.46027,0.65207,0.66667,0.83,0.32015,2.23403,3.4704,2.47096,0.000880023,0.000880023,0.000880023
23,64.2982,1.1104,1.56378,1.47629,0.74412,0.97649,0.83,0.30633,2.11608,2.86524,2.57576,0.000869024,0.000869024,0.000869024
24,67.4878,1.01953,1.54007,1.41499,0.64311,0.66667,0.753,0.33776,2.34042,2.15078,2.90795,0.000858025,0.000858025,0.000858025
25,69.6112,1.02261,1.58829,1.43164,0.74369,0.97474,0.83,0.2719,2.3315,2.15989,2.83444,0.000847026,0.000847026,0.000847026
26,71.5575,1.08749,1.53537,1.4356,0.9841,1,0.995,0.42621,2.03071,2.79339,2.42212,0.000836027,0.000836027,0.000836027
27,73.5575,1.01798,1.49026,1.404,1,0.97313,0.995,0.33692,2.00738,2.1701,2.76275,0.000825029,0.000825029,0.000825029
28,75.5786,1.14266,1.47451,1.49551,1,0.6585,0.74115,0.57523,1.32089,2.03443,1.88687,0.00081403,0.00081403,0.00081403
29,77.6471,1.13112,1.41887,1.49236,0.61559,0.66667,0.6375,0.4382,1.46715,2.33743,2.15525,0.000803031,0.000803031,0.000803031
30,80.4413,1.06318,1.36817,1.39409,0.97125,1,0.995,0.38553,2.01311,1.70618,2.92754,0.000792032,0.000792032,0.000792032
31,83.1926,1.02559,1.32002,1.44198,0.99111,1,0.995,0.4411,1.79097,1.62789,2.56988,0.000781033,0.000781033,0.000781033
32,85.1987,1.06304,1.49527,1.42375,0.98597,1,0.995,0.52249,1.47762,1.47608,2.13986,0.000770034,0.000770034,0.000770034
33,87.382,0.9985,1.33849,1.39821,0.74403,1,0.83,0.51529,1.53237,1.32595,2.20638,0.000759035,0.000759035,0.000759035
34,89.406,1.05757,1.4169,1.42866,0.94883,0.66667,0.863,0.63138,1.21577,1.30283,1.82742,0.000748036,0.000748036,0.000748036
35,91.365,0.96911,1.31338,1.37709,0.98171,0.66667,0.80643,0.60302,1.24558,1.45549,1.80776,0.000737037,0.000737037,0.000737037
36,94.269,1.00128,1.29038,1.42797,0.73238,0.92953,0.9125,0.68068,1.12737,1.43906,1.7399,0.000726038,0.000726038,0.000726038
37,97.0555,0.99794,1.33935,1.37542,0.74566,1,0.9125,0.65601,1.19377,1.24113,1.7767,0.00071504,0.00071504,0.00071504
38,99.0616,0.98503,1.30824,1.39997,0.98382,1,0.995,0.66436,1.33133,1.04069,1.93112,0.000704041,0.000704041,0.000704041
39,101.394,0.97939,1.24647,1.34792,0.98646,1,0.995,0.66436,1.39277,1.26349,1.9714,0.000693042,0.000693042,0.000693042
40,103.496,0.98339,1.28046,1.3162,0.97558,1,0.995,0.63068,1.53041,1.00477,2.26634,0.000682043,0.000682043,0.000682043
41,105.457,0.87533,1.15589,1.31023,0.98534,1,0.995,0.5662,1.73663,1.03926,2.69494,0.000671044,0.000671044,0.000671044
42,108.31,0.96062,1.2771,1.35926,1,0.99139,0.995,0.39859,2.07619,1.28712,2.91444,0.000660045,0.000660045,0.000660045
43,110.899,0.97392,1.21605,1.32605,0.98875,1,0.995,0.50501,1.73928,1.1052,2.50962,0.000649046,0.000649046,0.000649046
44,113.331,0.89937,1.17855,1.29615,0.98365,1,0.995,0.61465,1.24824,0.97064,1.90055,0.000638047,0.000638047,0.000638047
45,115.783,0.84452,1.1382,1.30317,0.984,1,0.995,0.5649,1.46731,1.18823,1.87185,0.000627048,0.000627048,0.000627048
46,117.897,0.86888,1.12292,1.29474,0.9885,1,0.995,0.53122,1.91144,1.2637,2.4108,0.000616049,0.000616049,0.000616049
47,120.009,0.88869,1.15846,1.29824,1,0.9977,0.995,0.48315,1.91339,1.20246,2.5826,0.000605051,0.000605051,0.000605051
48,123.055,0.92407,1.13819,1.28412,0.98285,1,0.995,0.53711,1.64867,1.27913,1.83664,0.000594052,0.000594052,0.000594052
49,125.577,0.87345,1.08156,1.29002,0.97903,1,0.995,0.69734,1.2475,1.1039,1.67846,0.000583053,0.000583053,0.000583053
50,127.568,0.86548,1.12188,1.27756,0.98251,0.66667,0.83,0.56525,1.4228,1.59887,1.88789,0.000572054,0.000572054,0.000572054
51,129.593,0.87648,1.03092,1.2916,0.98964,0.66667,0.83,0.51794,1.59714,1.91803,2.24679,0.000561055,0.000561055,0.000561055
52,131.957,0.88905,1.08409,1.28991,0.9879,0.66667,0.72324,0.34157,1.74125,2.01976,2.33692,0.000550056,0.000550056,0.000550056
53,133.995,0.81654,0.92272,1.20884,0.98624,0.66667,0.74115,0.42639,1.72197,1.82102,2.25675,0.000539057,0.000539057,0.000539057
54,137.361,0.78176,1.00076,1.21091,0.97241,0.66667,0.80643,0.45427,1.63395,1.71092,2.47739,0.000528058,0.000528058,0.000528058
55,139.617,0.87869,1.04177,1.29786,0.97647,0.66667,0.80643,0.45237,1.72291,1.89254,2.43343,0.000517059,0.000517059,0.000517059
56,141.755,0.92682,1.04693,1.29864,0.9786,0.66667,0.80643,0.48081,1.57481,1.56396,2.25162,0.00050606,0.00050606,0.00050606
57,143.678,0.84679,0.98817,1.29362,0.97889,0.66667,0.863,0.52711,1.607,1.48847,2.29377,0.000495062,0.000495062,0.000495062
58,145.846,0.77034,0.98147,1.21456,1,0.97986,0.995,0.62176,1.56911,1.22553,2.16153,0.000484063,0.000484063,0.000484063
59,147.896,0.76673,0.98353,1.21308,1,0.97987,0.995,0.56494,1.55617,1.11113,2.18549,0.000473064,0.000473064,0.000473064
60,151.271,0.77058,0.92966,1.19695,1,0.98113,0.995,0.53905,1.28756,1.29445,1.71696,0.000462065,0.000462065,0.000462065
61,153.68,0.75514,0.94962,1.21291,1,0.98316,0.995,0.49424,1.23847,1.07657,1.7981,0.000451066,0.000451066,0.000451066
62,155.825,0.7383,0.90902,1.17217,1,0.98688,0.995,0.54491,1.41013,1.02577,2.06878,0.000440067,0.000440067,0.000440067
63,157.922,0.70306,0.88784,1.15072,1,0.98895,0.995,0.61533,1.34914,1.00636,2.02169,0.000429068,0.000429068,0.000429068
64,159.983,0.77675,0.87015,1.19243,1,0.99467,0.995,0.59851,1.49587,0.85978,2.11935,0.000418069,0.000418069,0.000418069
65,162.265,0.71956,0.88888,1.17389,1,0.99516,0.995,0.56511,1.55813,0.78467,2.24432,0.00040707,0.00040707,0.00040707
66,165.525,0.71632,0.89834,1.22478,0.99895,1,0.995,0.56613,1.67941,0.87774,2.40093,0.000396071,0.000396071,0.000396071
67,167.838,0.69975,0.86599,1.17469,0.98293,1,0.995,0.56672,1.63654,0.89918,2.46433,0.000385073,0.000385073,0.000385073
68,169.837,0.69625,0.85081,1.17605,0.98376,1,0.995,0.53604,1.68311,0.88004,2.5612,0.000374074,0.000374074,0.000374074
69,171.855,0.65352,0.84399,1.12748,0.98613,1,0.995,0.5546,1.65421,0.92173,2.5343,0.000363075,0.000363075,0.000363075
70,173.93,0.71846,0.87951,1.17522,0.98696,1,0.995,0.40775,1.97332,0.85651,2.53935,0.000352076,0.000352076,0.000352076
71,176.094,0.73421,0.90666,1.19137,0.9883,1,0.995,0.43623,1.88516,1.04465,2.25603,0.000341077,0.000341077,0.000341077
72,179.208,0.71728,0.85534,1.15727,0.99285,1,0.995,0.47774,1.4768,1.03708,2.02512,0.000330078,0.000330078,0.000330078
73,181.768,0.76224,0.92538,1.24043,0.99127,1,0.995,0.47889,1.45034,0.98665,1.95295,0.000319079,0.000319079,0.000319079
74,183.826,0.64709,0.80027,1.13063,0.98746,1,0.995,0.60829,1.47654,0.77318,2.03306,0.00030808,0.00030808,0.00030808
75,186.031,0.69885,0.82365,1.16653,0.98572,1,0.995,0.6965,1.33651,0.72842,1.99359,0.000297081,0.000297081,0.000297081
76,188.123,0.70023,0.84399,1.15843,0.9856,1,0.995,0.6965,1.30475,0.69098,1.93122,0.000286083,0.000286083,0.000286083
77,190.05,0.69307,0.82299,1.17886,0.98491,1,0.995,0.65264,1.29863,0.67985,1.90955,0.000275084,0.000275084,0.000275084
78,192.914,0.63577,0.75112,1.1016,0.98251,1,0.995,0.63309,1.41484,0.71496,1.989,0.000264085,0.000264085,0.000264085
79,195.716,0.67146,0.77835,1.13492,0.97939,1,0.995,0.7143,1.25079,0.73043,1.90015,0.000253086,0.000253086,0.000253086
80,197.808,0.68709,0.78303,1.15335,0.98104,1,0.995,0.6646,1.11687,0.72965,1.74702,0.000242087,0.000242087,0.000242087
81,199.741,0.61902,0.75576,1.13461,0.98447,1,0.995,0.69745,1.05309,0.71756,1.70413,0.000231088,0.000231088,0.000231088
82,201.843,0.62471,0.70954,1.12811,0.98796,1,0.995,0.7472,0.98621,0.62593,1.57995,0.000220089,0.000220089,0.000220089
83,204.255,0.62151,0.74623,1.11429,0.98724,1,0.995,0.69744,1.00475,0.57623,1.58965,0.00020909,0.00020909,0.00020909
84,207.37,0.68388,0.79066,1.11751,0.9868,1,0.995,0.69747,1.00158,0.56984,1.61722,0.000198091,0.000198091,0.000198091
85,210.243,0.65232,0.75246,1.11551,0.98631,1,0.995,0.71436,1.03951,0.58354,1.66967,0.000187092,0.000187092,0.000187092
86,212.27,0.60915,0.72915,1.10963,0.98397,1,0.995,0.68055,1.25948,0.67521,1.82393,0.000176094,0.000176094,0.000176094
87,214.452,0.59832,0.7365,1.09662,0.9752,1,0.995,0.6033,1.51467,0.74353,1.99177,0.000165095,0.000165095,0.000165095
88,216.57,0.68915,0.72427,1.16229,0.98157,1,0.995,0.5095,1.85311,0.85477,2.21232,0.000154096,0.000154096,0.000154096
89,218.722,0.6426,0.76298,1.12992,0.98073,1,0.995,0.51034,1.89336,0.89018,2.27721,0.000143097,0.000143097,0.000143097
90,222.112,0.58102,0.76505,1.1058,0.9655,1,0.995,0.53759,1.8691,0.90908,2.28978,0.000132098,0.000132098,0.000132098
91,226.229,0.60356,0.94531,1.185,0.96636,1,0.995,0.54132,1.76367,0.88486,2.18107,0.000121099,0.000121099,0.000121099
92,228.718,0.52412,0.85202,1.12921,0.97485,1,0.995,0.57495,1.6734,0.83856,2.127,0.0001101,0.0001101,0.0001101
93,231.004,0.51917,0.85726,1.12621,0.97255,1,0.995,0.56334,1.67164,0.86243,2.12746,9.91012e-05,9.91012e-05,9.91012e-05
94,233.171,0.50107,0.84351,1.12317,0.97157,1,0.995,0.53657,1.69049,0.9254,2.20066,8.81023e-05,8.81023e-05,8.81023e-05
95,236.163,0.51836,0.85926,1.12996,0.9726,1,0.995,0.53742,1.71381,0.89359,2.31911,7.71034e-05,7.71034e-05,7.71034e-05
96,238.569,0.51921,0.91129,1.11009,0.97387,1,0.995,0.53805,1.64985,0.83856,2.32658,6.61045e-05,6.61045e-05,6.61045e-05
97,240.489,0.49744,0.80637,1.1009,0.9766,1,0.995,0.56571,1.64468,0.8229,2.32943,5.51056e-05,5.51056e-05,5.51056e-05
98,242.406,0.47347,0.7711,1.08478,0.98057,1,0.995,0.59857,1.57079,0.77186,2.25241,4.41067e-05,4.41067e-05,4.41067e-05
99,244.528,0.44076,0.73786,1.0733,0.98254,1,0.995,0.63142,1.52781,0.743,2.20192,3.31078e-05,3.31078e-05,3.31078e-05
100,246.603,0.47227,0.71876,1.10406,0.98358,1,0.995,0.63143,1.49224,0.72038,2.16665,2.21089e-05,2.21089e-05,2.21089e-05
